"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Luxembourg","LUX","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","2",
"Luxembourg","LUX","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.909460233749641","0.800998378740728","0.757055761093606","0.711513004075019","0.61191984136363","0.494820949695768","0.417521336600217","0.631739384202154","0.808245785433882","0.604810915298473","0.740211571446477","0.560647068310767","0.602719506794822","0.779241722713997","0.764996578984065","0.795644739842276","0.899481052712309","0.91300656742617","0.823332695421557","0.614483053933148","0.874770454111488","1.1057281927959","0.748706896407204","",
"Luxembourg","LUX","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3829440411085","40.3829440411085","40.3829440411085","40.3829440411085","40.3829440411085","40.3829440411085","40.3829440411085","40.3829440411085","40.3829440411085","40.3829440411085","42.5362791411235","43.8668441842419","41.9775688555482","41.3151444738085","38.8577740680305","39.1288528650903","39.7845882877188","39.0294218617588","35.7592861666524","39.6744992037894","38.0382943455141","37.6354595893221","38.3788382113716","39.2919917197159","40.1690349945708","43.4792100219022","45.8264518099354","46.9783581557917","46.6076623144588","48.1126937260757","",
"Luxembourg","LUX","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.49537672176073","1.85958243149707","1.99371215424559","2.35561027283771","2.10065218782816","1.4991321912417","12.2984053706787","14.7941118178599","15.5192892723052","19.4291677698167","18.8327926476964","19.3992466384232","18.9254759194993","10.6779923410495","9.74085786097594","11.250784409869","10.1262794735699","10.2828000418419","16.7072096303122","11.0791731417607","6.52379384136712","4.5185878674097","8.09101761414843","",
"Luxembourg","LUX","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.87","6.23","6.78","6.57","6.61","5.52","5.55","13.06","11.09","9.61","9.21","9.51","7.93","9.87","6.42","6.54","6.85","7.36","7.24","6.51","5.94","6.25","6.3","5.84","5.6","5.38","5.72","5.69","5.32","5.16","5.24","5.87","2.21",
"Luxembourg","LUX","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55","2.84","5.86","4.32","3.3","3.14","3.95","4.23","2.82","2.23","2.86","3.31","2.3","3.04","1.75","1.68","1.76","1.7","1.8","1.67","1.59","1.6","2","1.51","1.5","1.47","2.07","2.03","1.75","1.87","1.81","1.79","1.6",
"Luxembourg","LUX","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Population, female","SP.POP.TOTL.FE.IN","158903","160628","162743","164495","166389","168374","169738","170473","171093","172069","172979","174604","176629","178460","180715","182700","183709","184211","184787","185482","186393","187197","187593","187846","188156","188526","189240","190226","191294","192852","195016","197450","199943","202537","205217","208002","210723","213238","215754","218564","221417","223993","226302","229009","232195","235616","239195","242653","246711","250941","255121","260360","266145","271788","277680","283726","289340","295911","301174","306733","312502",
"Luxembourg","LUX","Population ages 65 and above, total","SP.POP.65UP.TO","33985","34756","35611","36413","37281","38192","39232","40091","40900","41775","42616","43678","44768","45730","46705","47485","48420","49064","49517","49722","49673","49865","49664","49270","48920","48733","48875","49197","49645","50296","51158","52299","53488","54681","55804","56842","57980","58918","59754","60596","61404","62593","63640","64740","65909","67079","67745","68301","69026","69901","70938","72339","74012","75759","77668","79712","81728","84123","86226","88505","90989",
"Luxembourg","LUX","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","5.75828758777494","5.806908636728","6.05898584659255","6.4251413287946","6.7681162036452","7.00565915094846","7.15190247943666","7.21458556259775","7.21525350416759","7.18519035002092","7.14405287615089","7.04724138721434","6.92682538509214","6.7990953339763","6.68027972027972","6.58093377439336","6.49492257197612","6.42822012131811","6.37607561010015","6.33263593814033","6.2927643406443","6.24812802190749","6.19723120603712","6.14766545361544","6.12327375792995","6.14369936802816","6.21970664948943","6.3468719963444","6.50504080652905","6.66476846219553","6.80685198481896","6.90793979332491","6.98986699808566","7.05938209387781","7.12944034893422","7.21127465609026","7.28652282914229","7.37399710548132","7.47340831241593","7.58435176558704","7.70200479850352","7.82557686538091","7.94810272816138","8.06447346377336","8.16977053904766","8.25740687240474","8.28216042335946","8.29241066779959","8.27879153881309","8.23811882770303","8.17628025806654","8.08411125380973","7.97109346521407","7.84825985223944","7.72929929401903","7.61884520014169","7.49130129803385","7.37070036804135","7.27705804141138","7.23491563259143","7.25203546344569",
"Luxembourg","LUX","Population ages 15-19, female (% of female population)","SP.POP.1519.FE.5Y","6.22432700641903","6.19030752692181","6.1739093026543","6.19050513646587","6.24582558622308","6.32763442719732","6.40866323451092","6.50906012252625","6.62255526589589","6.74069167480128","6.85254134557105","7.03635363421734","7.19009251309228","7.30613695199743","7.38685314685315","7.43622760473325","7.51206026829967","7.55068582982677","7.54256323448029","7.49574013760973","7.42348704793899","7.40394078131017","7.35053956258606","7.23355054587305","7.03897305546841","6.77832209356576","6.57187509899788","6.31850960907176","6.03540044668017","5.76243108223539","5.53236229356857","5.48140482241872","5.44435869423592","5.39666368280753","5.32573536227783","5.24263806929216","5.26665653726354","5.29209815134867","5.31463941163146","5.32827314079027","5.33347792100994","5.38198720216372","5.4416600017773","5.516219767042","5.59788660131432","5.67238576535166","5.75456524599069","5.78415324444889","5.78931905725664","5.77918757390776","5.75211371203437","5.85366788705936","5.91358855162928","5.93658455699468","5.91882302784181","5.85547290116897","5.83316549410711","5.75962576221329","5.65481161763625","5.53509290263279","5.40904815620465",
"Luxembourg","LUX","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","117.356","114.155","111.863","128.189","117.368","112.548","125.09","115.338","102.885","120","124.965","114.053","125.616","113.106","119.016","107.459","107.436","102.054","103.153","93.582","100.472","100.725","101.16","86.039","95.14","93.069","75.048","90.769","77.156","77.607","88.093","78.345","80.478","78.916","72.805","68.775","78.351","73.166","66.763","67.341","72.851","71.58","68.078","52.955","56.453","55.899","63.264","55.537","55.118","54.275","53.958","48.967","47.059","52.429","38.403","36.401","38.87","41.193","41.665","38.902","",
"Luxembourg","LUX","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","3.20000004768372","2.63000011444092","2.96000003814697","2.64000010490417","2.47000002861023","2","1.5900000333786","1.61000001430511","1.48000001907349","2.02999997138977","2.32999992370605","3.48000001907349","2.92000007629395","3.28999996185303","2.52999997138977","2.75999999046326","2.39000010490417","2.34999990463257","1.80999994277954","2.61999988555908","3.6800000667572","5.1100001335144","4.48999977111816","4.73000001907349","4.07000017166138","5.05999994277954","5.11999988555908","4.3600001335144","4.90000009536743","5.1399998664856","5.84999990463257","5.84999990463257","6.67000007629395","6.28999996185303","5.51999998092651","5.59000015258789","5.59000015258789","6.76999998092651",
"Luxembourg","LUX","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3899998664856","5.40999984741211","4.23000001907349","3.90000009536743","3.88000011444092","3.47000002861023","4.88000011444092","4.69000005722046","4.6100001335144","4.44000005722046","4.15000009536743","3.83999991416931","5.17000007629395","3.69000005722046","4.15999984741211","4.3600001335144","3.52999997138977","5.28000020980835",
"Luxembourg","LUX","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","51.75","","","","","","50.3899993896484","","","","48.8400001525879","","","","","","","","","","","51.7799987792969","","50.9000015258789","51","51.810001373291","51.7299995422363","52.3199996948242","51.0499992370605","51.0499992370605","50.060001373291","51.8499984741211","53.560001373291","52.7400016784668","52.689998626709","50.7999992370605","50.9599990844727","51.189998626709","51.3499984741211","52.3600006103516","53.4099998474121","53.810001373291","54.7599983215332","54.1699981689453","55","55.560001373291","55.0099983215332","55.9300003051758","56.0099983215332","58.1599998474121","57.7000007629395","57.5900001525879","58.75","59.3899993896484","60.0800018310547","59.9799995422363","58.9099998474121","59.310001373291","59.8800010681152","60.6500015258789","60.7999992370605",
"Luxembourg","LUX","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9220008850098","53.173999786377","51.3089981079102","47.8139991760254","46.4780006408691","41.1920013427734","40.6619987487793","37.3889999389648","35.3390007019043","33.9640007019043","34.023998260498","34.4269981384277","34.6990013122559","30.3589992523193","28.0370006561279","28.8369998931885","28.9479999542236","29.0359992980957","29.0990009307861","32.2919998168945","24.7609996795654","24.9020004272461","26.8519992828369","26.0230007171631","26.5319995880127","35.2480010986328","30.7999992370605","30.5149993896484","33.2109985351563","34.7140007019043","32.4189987182617",
"Luxembourg","LUX","Average working hours of children, study and work, male, ages 7-14 (hours per week)","SL.TLF.0714.SW.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
